h,Consommation (MW),Production total,Coût total,Nb centrale A,Puissance tot A,Coût A,Nb centrale B,Puissance tot B,Coût B,Nb centrale C,Puissance tot C,Coût C,Coût MWh
0,15000,15000.0,21100.0,12,11500.0,14600.0,2,3500.0,6500.0,0,0.0,0.0,1.4066666666666667
1,15000,15000.0,21100.0,12,11500.0,14600.0,2,3500.0,6500.0,0,0.0,0.0,1.4066666666666667
2,15000,15000.0,21100.0,12,11500.0,14600.0,2,3500.0,6500.0,0,0.0,0.0,1.4066666666666667
3,15000,15000.0,21100.0,12,11500.0,14600.0,2,3500.0,6500.0,0,0.0,0.0,1.4066666666666667
4,15000,15000.0,21100.0,12,11500.0,14600.0,2,3500.0,6500.0,0,0.0,0.0,1.4066666666666667
5,15000,15000.0,21100.0,12,11500.0,14600.0,2,3500.0,6500.0,0,0.0,0.0,1.4066666666666667
6,30000,30000.0,49100.0,12,12500.0,16600.0,10,17500.0,32500.0,0,0.0,0.0,1.6366666666666667
7,30000,30000.0,49100.0,12,12500.0,16600.0,10,17500.0,32500.0,0,0.0,0.0,1.6366666666666667
8,30000,30000.0,49100.0,12,12500.0,16600.0,10,17500.0,32500.0,0,0.0,0.0,1.6366666666666667
9,25000,25000.0,39600.0,12,11000.0,13600.0,8,14000.0,26000.0,0,0.0,0.0,1.584
10,25000,25000.0,39600.0,12,11000.0,13600.0,8,14000.0,26000.0,0,0.0,0.0,1.584
11,25000,25000.0,39600.0,12,11000.0,13600.0,8,14000.0,26000.0,0,0.0,0.0,1.584
12,25000,25000.0,39600.0,12,11000.0,13600.0,8,14000.0,26000.0,0,0.0,0.0,1.584
13,25000,25000.0,39600.0,12,11000.0,13600.0,8,14000.0,26000.0,0,0.0,0.0,1.584
14,25000,25000.0,39600.0,12,11000.0,13600.0,8,14000.0,26000.0,0,0.0,0.0,1.584
15,40000,40000.0,69100.0,12,22500.0,36600.0,10,17500.0,32500.0,0,0.0,0.0,1.7275
16,40000,40000.0,69100.0,12,22500.0,36600.0,10,17500.0,32500.0,0,0.0,0.0,1.7275
17,40000,40000.0,69100.0,12,22500.0,36600.0,10,17500.0,32500.0,0,0.0,0.0,1.7275
18,27000,27000.0,43350.0,12,11250.0,14100.0,9,15750.0,29250.0,0,0.0,0.0,1.6055555555555556
19,27000,27000.0,43350.0,12,11250.0,14100.0,9,15750.0,29250.0,0,0.0,0.0,1.6055555555555556
20,27000,27000.0,43350.0,12,11250.0,14100.0,9,15750.0,29250.0,0,0.0,0.0,1.6055555555555556
21,27000,27000.0,43350.0,12,11250.0,14100.0,9,15750.0,29250.0,0,0.0,0.0,1.6055555555555556
22,27000,27000.0,43350.0,12,11250.0,14100.0,9,15750.0,29250.0,0,0.0,0.0,1.6055555555555556
23,27000,27000.0,43350.0,12,11250.0,14100.0,9,15750.0,29250.0,0,0.0,0.0,1.6055555555555556
